온더보더 지류상품권은 어떻게 구매할 수 있나요?,6,"['온더보더', '지류', '상품권', '어떻', '구매', '수', '있']","['OG', 'PS', 'O', 'O', 'O', 'DT', 'O']",기타
온더보더 상품권을 구매하고싶어요,6,"['온더보더', '상품권', '구매', '싶']","['OG', 'O', 'O', 'PS']",기타
매장 방문과 관련해 문의하고싶습니다,6,"['매장', '방문', '관련', '문의', '싶']","['O', 'O', 'O', 'PS', 'PS']",예약
단체인데 꼭 예약을 해야할까요?,6,"['단체', '이', '꼭', '예약', '하', '하']","['O', 'PS', 'O', 'O', 'PS', 'PS']",예약
예약 없이 이용할 수 있나요?,6,"['예약', '없이', '이용', '수', '있']","['O', 'O', 'PS', 'DT', 'O']",예약
예약 관련 문의사항이 있습니다,6,"['예약', '관련', '문의', '사항', '있']","['O', 'O', 'PS', 'QT', 'O']",예약
예약 전 문의드립니다,6,"['예약', '전', '문의', '드리']","['O', 'PS', 'PS', 'PS']",예약
예약 전 궁금한게 잇습니다,6,"['예약', '전', '궁금', '잇']","['O', 'PS', 'O', 'PS']",예약
통신사와 카드사 재휴할인을 중복으로 사용할 수 있나요?,6,"['통신사', '카드사', '재', '휴', '할인', '중복', '사용', '수', '있']","['CV', 'O', 'PS', 'PS', 'O', 'DT', 'O', 'DT', 'O']",이벤트정보
온더보더 상품권을 구매하는 방법이 무엇인가요?,6,"['온더보더', '상품권', '구매', '방법', '무엇', '이']","['OG', 'O', 'O', 'O', 'O', 'PS']",기타
온더보더 모바일 교환권이 있나요?,6,"['온더보더', '모바일', '교환', '있']","['OG', 'TM', 'O', 'O']",기타
모바일 교환권을 여러장 함께 사용할 수 잇나요?,6,"['모바일', '교환', '여러', '장', '함께', '사용', '수', '잇']","['TM', 'O', 'O', 'PS', 'O', 'O', 'DT', 'PS']",기타
모바일 상품권을 여러장 함께 사용할 수 있나요?,6,"['모바일', '상품권', '여러', '장', '함께', '사용', '수', '있']","['TM', 'O', 'O', 'PS', 'O', 'O', 'DT', 'O']",기타
모바일 교환권 이미지 없이 번호만 가져가도 되나요?,6,"['모바일', '교환', '이미지', '없이', '번호', '가져가', '되']","['TM', 'O', 'PS', 'O', 'O', 'O', 'O']",매장정보
디지털 금액권은 현금영수증이 되나요?,6,"['디지털', '금액', '현금영수증', '되']","['O', 'TM', 'CV', 'O']",기타
포장 주문시에도 상품권 사용이 가능한가요?,6,"['포장', '주문', '상품권', '사용', '가능']","['O', 'O', 'O', 'O', 'LC']",주문
온더보더 지점마다 음식이 다른가요?,6,"['온더보더', '지점', '음식', '다르']","['OG', 'O', 'O', 'O']",매장정보
